scenario_id	entry_id	economic_fact_id	event_group_id	kind	period	known_at_period	value_status	lower_value	upper_value	input_status	source_record_id	provider_claim_id
rounding-a	rounding-a-interest-accrual	rounding-a-interest-accrual	rounding-a-maturity	interest-accrual	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-a	rounding-a-principal-due	rounding-a-principal-due	rounding-a-maturity	principal-due	12	0	known	10	10	stress	SYNTHETIC	NONE
rounding-a	rounding-a-interest-due	rounding-a-interest-due	rounding-a-maturity	interest-due	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-a	rounding-a-principal-cash	rounding-a-principal-cash	rounding-a-maturity	principal-cash	12	0	known	10	10	stress	SYNTHETIC	NONE
rounding-a	rounding-a-interest-cash	rounding-a-interest-cash	rounding-a-maturity	interest-cash	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-b	rounding-b-interest-accrual	rounding-b-interest-accrual	rounding-b-maturity	interest-accrual	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-b	rounding-b-principal-due	rounding-b-principal-due	rounding-b-maturity	principal-due	12	0	known	10	10	stress	SYNTHETIC	NONE
rounding-b	rounding-b-interest-due	rounding-b-interest-due	rounding-b-maturity	interest-due	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-b	rounding-b-principal-cash	rounding-b-principal-cash	rounding-b-maturity	principal-cash	12	0	known	10	10	stress	SYNTHETIC	NONE
rounding-b	rounding-b-interest-cash	rounding-b-interest-cash	rounding-b-maturity	interest-cash	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-c	rounding-c-interest-accrual	rounding-c-interest-accrual	rounding-c-maturity	interest-accrual	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-c	rounding-c-principal-due	rounding-c-principal-due	rounding-c-maturity	principal-due	12	0	known	10	10	stress	SYNTHETIC	NONE
rounding-c	rounding-c-interest-due	rounding-c-interest-due	rounding-c-maturity	interest-due	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-c	rounding-c-principal-cash	rounding-c-principal-cash	rounding-c-maturity	principal-cash	12	0	known	10	10	stress	SYNTHETIC	NONE
rounding-c	rounding-c-interest-cash	rounding-c-interest-cash	rounding-c-maturity	interest-cash	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-d	rounding-d-interest-accrual	rounding-d-interest-accrual	rounding-d-maturity	interest-accrual	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-d	rounding-d-principal-due	rounding-d-principal-due	rounding-d-maturity	principal-due	12	0	known	10	10	stress	SYNTHETIC	NONE
rounding-d	rounding-d-interest-due	rounding-d-interest-due	rounding-d-maturity	interest-due	12	0	known	1	1	stress	SYNTHETIC	NONE
rounding-d	rounding-d-principal-cash	rounding-d-principal-cash	rounding-d-maturity	principal-cash	12	0	known	10	10	stress	SYNTHETIC	NONE
rounding-d	rounding-d-interest-cash	rounding-d-interest-cash	rounding-d-maturity	interest-cash	12	0	known	1	1	stress	SYNTHETIC	NONE
