entry_id	economic_fact_id	event_group_id	kind	period	known_at_period	value_status	lower_value	upper_value	input_status	source_record_id	provider_claim_id
closing-buyer-price	closing-buyer-price	closing-2026-01-01	buyer-price	0	0	known	9	9	contractual	SYNTHETIC	NONE
closing-buyer-direct-cost	closing-buyer-direct-cost	closing-2026-01-01	buyer-direct-cost	0	0	known	0.2	0.2	contractual	SYNTHETIC	NONE
closing-borrower-gross-proceeds	closing-borrower-gross-proceeds	closing-2026-01-01	borrower-gross-proceeds	0	0	known	9	9	contractual	SYNTHETIC	NONE
closing-borrower-net-proceeds	closing-borrower-net-proceeds	closing-2026-01-01	borrower-net-proceeds	0	0	known	8.5	8.5	contractual	SYNTHETIC	NONE
closing-investor-cash-fee	closing-investor-cash-fee	closing-2026-01-01	cash-fee	0	0	known	0.3	0.3	contractual	SYNTHETIC	NONE
closing-borrower-third-party-cost	closing-borrower-third-party-cost	closing-2026-01-01	borrower-third-party-cost	0	0	known	0.2	0.2	contractual	SYNTHETIC	NONE
closing-funded-principal	closing-funded-principal	closing-2026-01-01	funded-principal	0	0	known	9	9	contractual	SYNTHETIC	NONE
closing-original-issue-discount	closing-original-issue-discount	closing-2026-01-01	original-issue-discount	0	0	known	0	0	contractual	SYNTHETIC	NONE
closing-original-issue-premium	closing-original-issue-premium	closing-2026-01-01	original-issue-premium	0	0	known	0	0	contractual	SYNTHETIC	NONE
closing-capitalized-fee	closing-capitalized-fee	closing-2026-01-01	capitalized-fee	0	0	known	1	1	contractual	SYNTHETIC	NONE
