entry_id	economic_fact_id	event_group_id	kind	period	known_at_period	value_status	lower_value	upper_value	input_status	source_record_id	provider_claim_id
required-buyer-price	required-buyer-price	funding-event-UNKNOWN	buyer-price	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-buyer-direct-cost	required-buyer-direct-cost	funding-event-UNKNOWN	buyer-direct-cost	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-borrower-gross-proceeds	required-borrower-gross-proceeds	funding-event-UNKNOWN	borrower-gross-proceeds	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-borrower-net-proceeds	required-borrower-net-proceeds	funding-event-UNKNOWN	borrower-net-proceeds	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-cash-fee	required-cash-fee	funding-event-UNKNOWN	cash-fee	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-borrower-third-party-cost	required-borrower-third-party-cost	funding-event-UNKNOWN	borrower-third-party-cost	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-funded-principal	required-funded-principal	funding-event-UNKNOWN	funded-principal	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-original-issue-discount	required-original-issue-discount	funding-event-UNKNOWN	original-issue-discount	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-original-issue-premium	required-original-issue-premium	funding-event-UNKNOWN	original-issue-premium	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-capitalized-fee	required-capitalized-fee	funding-event-UNKNOWN	capitalized-fee	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-interest-accrual	required-interest-accrual	cash-rights-UNKNOWN	interest-accrual	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-principal-due	required-principal-due	cash-rights-UNKNOWN	principal-due	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-interest-due	required-interest-due	cash-rights-UNKNOWN	interest-due	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-principal-cash	required-principal-cash	cash-rights-UNKNOWN	principal-cash	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-interest-cash	required-interest-cash	cash-rights-UNKNOWN	interest-cash	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-recovery-principal-cash	required-recovery-principal-cash	recovery-event-UNKNOWN	recovery-principal-cash	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-recovery-interest-cash	required-recovery-interest-cash	recovery-event-UNKNOWN	recovery-interest-cash	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
