field_id	public_observation	evidence_class	provenance_tag	status	decision_effect	source_ids
observation_cluster	24 September 2024 Meatable Innovation Credit award announcement	D	CLM	DEFINED	One public award observation; individualized legal claim and advances remain incomplete	MEATABLE-CLM-2024-09-24
public_announcement_date	2024-09-24	D	CLM	OBSERVED_PUBLICATION_DATE	Not execution decision funding settlement or price-observation date	MEATABLE-CLM-2024-09-24
recipient	Meatable brand	D	CLM	PARTIAL	Exact recipient obligor pledgor and related liable parties unresolved	MEATABLE-CLM-2024-09-24
provider	Netherlands Enterprise Agency RVO named by issuer	D	CLM	PARTIAL	Individualized contracting payer and creditor identities require award and settlement records	MEATABLE-CLM-2024-09-24
instrument_label	Innovation Credit	D	CLM	OBSERVED_LABEL	Label does not establish exact legal claim cash rights or balance	MEATABLE-CLM-2024-09-24
award_amount	EUR 7600000	D	CLM	OBSERVED_AWARD_AMOUNT	Not contractual face advanced principal buyer price borrower proceeds or cash received	MEATABLE-CLM-2024-09-24
use_of_proceeds	Improve productivity and reduce costs before commercialization	D	CLM	PARTIAL	No approved project plan budget milestone or draw-to-expenditure ledger	MEATABLE-CLM-2024-09-24
series_b_context	EUR 30000000 Series B in 2023 stated as contextual prior financing	D	CLM	CONTEXT_ONLY	Separate financing not aggregated with the Innovation Credit cluster	MEATABLE-CLM-2024-09-24
corporate_outcome_announcement_date	2025-12-19	C	CLM	OBSERVED_PUBLICATION_DATE	Date of RNS 2963M only; it is not encoded as the legal completion date of dissolution or liquidation	ANIC-RNS-2025-12-19-MEATABLE
corporate_dissolution_resolution	Meatable board and shareholders resolved to dissolve Meatable B.V. and related group companies and terminate operating activities	C	CLM	OBSERVED_POST_AWARD_CORPORATE_OUTCOME	Known adverse corporate outcome after the 2024 award; announcement does not prove completion of every statutory liquidation step or any effect on the RVO claim	ANIC-RNS-2025-12-19-MEATABLE
continued_funding_outcome	Agronomics reported that Meatable was unable to obtain continued funding from existing shareholders or new investors	C	CLM	OBSERVED_ISSUER_REPORT	Equity and corporate-funding context only; it is not evidence of an RVO funding suspension default nonpayment or claim balance	ANIC-RNS-2025-12-19-MEATABLE
orderly_wind_down_status	Board and shareholders concluded that an orderly wind-down under applicable statutory liquidation procedures was the appropriate course	C	CLM	OBSERVED_INTENTION	Announcement of the intended process; no liquidator appointment completion date creditor schedule distribution or residual obligation is observed	ANIC-RNS-2025-12-19-MEATABLE
agronomics_equity_writeoff	Agronomics reported GBP 7.9m invested and a GBP 11.9m carrying value written to zero	C	CLM	SEPARATE_ASSET_CONTEXT	Agronomics equity accounting is a different asset and cannot proxy RVO principal loss remission recovery or claim value	ANIC-RNS-2025-12-19-MEATABLE
issuer_homepage_dissolution_context	Current Meatable homepage states an intention to proceed with orderly dissolution and liquidation after insufficient additional funding	D	CLM	URL_ONLY_CORROBORATION	Exact bytes and publication date unavailable; not used to date legal effectiveness or infer any RVO claim outcome	MEATABLE-HOME-2026-09-01
corporate_outcome_to_credit_entity_linkage	2024 award source names the Meatable brand while RNS 2963M names Meatable B.V. and related group companies	C;D	CLM	PARTIAL_ENTITY_LINKAGE	Relevant post-award corporate context but exact RVO recipient obligor and claim-level legal linkage remain unresolved	MEATABLE-CLM-2024-09-24;ANIC-RNS-2025-12-19-MEATABLE
programme_opening_window	2024-01-01 through 2024-12-01	A	REG	GENERIC_PROGRAMME_FACT	Consistency context only; no Meatable application award or execution date inferred	NL-SC-2023-35780
programme_ceiling_technical	EUR 30000000	A	REG	GENERIC_PROGRAMME_FACT	Programme budget ceiling is not Meatable credit amount or available cash	NL-SC-2023-35780
programme_ceiling_clinical	EUR 30000000	A	REG	GENERIC_PROGRAMME_FACT	Programme budget ceiling is not Meatable credit amount or available cash	NL-SC-2023-35780
generic_base_rate	3 percent per year	A	REG	GENERIC_PROGRAMME_FACT	Policy base rate is not an individualized accrual or market-clearing hurdle	NL-SC-2023-35780
generic_technical_fixed_premium	15 percent	A	REG	GENERIC_PROGRAMME_FACT	Meatable's formal project classification and incorporated premium are unproved	NL-SC-2023-35780
generic_clinical_fixed_premium	25 percent	A	REG	GENERIC_PROGRAMME_FACT	No inference that the clinical premium applies to Meatable	NL-SC-2023-35780
project_classification	No individualized classification in permitted award source	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	Cannot assign either generic fixed premium to the candidate claim	NO_PUBLIC_SOURCE
individualized_decision	No award decision or annexes	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	Legal terms approved project cost eligibility percentage and dates unresolved	NO_PUBLIC_SOURCE
execution_funding_settlement	No signed acceptance advance notice bank or ledger evidence	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	No funding event may be generated	NO_PUBLIC_SOURCE
contractual_face_opening_principal	No individualized claim or advance balance	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	EUR 7.6m cannot be promoted to face or opening principal	NO_PUBLIC_SOURCE
gross_price_and_costs	No investor price borrower proceeds fee or direct-cost ledger	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	All-in cash identities unavailable	NO_PUBLIC_SOURCE
generic_project_control	Binding approved plan; milestone reporting and material-change approval described in standard July document	A	REG	GENERIC_PROGRAMME_MECHANIC	Defines diligence states only; no Meatable plan milestone report consent or breach observed	RVO-IK-COND-2024-07
generic_financial_reporting	Periodic progress financial forecast realization and asset reporting described in standard July document	A	REG	GENERIC_PROGRAMME_MECHANIC	No award-specific periods reports or accepted results observed	RVO-IK-COND-2024-07
generic_distribution_restriction	Shareholder withdrawals restricted while credit remains unpaid in standard July document	A	REG	GENERIC_PROGRAMME_MECHANIC	Exact liable group exceptions compliance and enforcement unknown	RVO-IK-COND-2024-07
generic_repayment_framework	Credit plus accrued interest and fixed premium referenced in standard conditions	A	REG	GENERIC_PROGRAMME_MECHANIC	No individualized accrual schedule maturity or cash path	RVO-IK-COND-2024-07
generic_pledge_framework	First-ranking pledge template over identified and future project assets and derived IP	A	REG	GENERIC_TEMPLATE_MECHANIC	Blank template is not an executed Meatable pledge collateral list perfection or recovery record	RVO-IK-COND-2024-07
generic_surety_framework	Conditional optional surety language and placeholders	A	REG	GENERIC_OPTIONAL_TEMPLATE	No Meatable surety may be asserted	RVO-IK-COND-2024-07
generic_enforcement_framework	Pledge template permits asset realization after default and application of proceeds	A	REG	GENERIC_TEMPLATE_MECHANIC	No default proceeds costs priority distribution or residual claim observed	RVO-IK-COND-2024-07
generic_advance_control	Current guidance describes next-period advance after progress-report approval and possible pause for major changes until amended plans are approved	A	REG	CURRENT_GENERIC_MECHANIC	No Meatable advance pause restart report or milestone state is observed	RVO-IK-AFTER-2026-01-05
generic_remission_availability	Recipient may request partial remission after technical failure or loss of market prospects; RVO may grant temporary or definitive relief depending on circumstances	A	REG	CURRENT_GENERIC_DISCRETION	Not automatic and not evidence of Meatable failure request decision amount or cash outcome	RVO-IK-AFTER-2026-01-05
meatable_remission_outcome	No award-specific remission application decision or outcome	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	No forgiven principal provider cash loss severity or release may be modeled	NO_PUBLIC_SOURCE
rvo_claim_status_after_corporate_resolution	No award-specific default acceleration balance proof-of-claim remission security release enforcement distribution recovery or settlement record	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	The known corporate resolution and equity write-off do not determine the RVO creditor claim or its cash outcome	NO_PUBLIC_SOURCE
repayment_cash	No award-specific principal interest premium or recovery settlement ledger	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	Dated investor cash path unavailable	NO_PUBLIC_SOURCE
arm_length_orderliness	Public support programme rather than observed independent investor price formation	A;D	REG;CLM	UNRESOLVED	Programme economics cannot be treated as market-clearing target return	NL-SC-2023-35780;MEATABLE-CLM-2024-09-24
liquidity_transfer	No transfer right or secondary execution evidence	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	Liquidity comparison axis unresolved	NO_PUBLIC_SOURCE
ex_ante_information_set	No exact award decision funding settlement or valuation timestamp with frozen information set	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	Current guidance and the known 2025 corporate outcome cannot enter a 2024 ex-ante probability set	NO_PUBLIC_SOURCE
physical_probability_set	No independent ex-ante state probabilities	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	Technical success delay remission and recovery probabilities cannot be formed	NO_PUBLIC_SOURCE
recovery_cash_paths	No dated default enforcement asset sale remission or recovery cash	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	Expected loss and recovery cannot be placed in cash	NO_PUBLIC_SOURCE
expected_cash_rate_preimage	Not calculated	NO_EVIDENCE	NO_PUBLIC_SOURCE	INELIGIBLE	No paid price complete dated cash paths or probabilities	NO_PUBLIC_SOURCE
joint_adjustment_bridge	No sourced signed bounds exact jointly feasible projection or no-double-count reconciliation	NO_EVIDENCE	NO_PUBLIC_SOURCE	MISSING	Candidate cannot be normalized to target claim	NO_PUBLIC_SOURCE
final_decision	Retain public package; manual candidate rejection; do not generate hurdle-evidence configuration	DERIVED_DECISION	DER	INELIGIBLE	Architecture evidence plus a known adverse corporate backtest; no transaction-consistent hurdle or RVO claim-loss observation identified	MEATABLE-CLM-2024-09-24;NL-SC-2023-35780;RVO-IK-COND-2024-07;RVO-IK-AFTER-2026-01-05;ANIC-RNS-2025-12-19-MEATABLE;MEATABLE-HOME-2026-09-01
