observation_id	cluster_id	eligible_date	horizon_end_date	status	scenario_id	classification_date	exclusion_rule_id	evidence_record_ids	requirement_ids
obs-001	cluster-001	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-002	cluster-002	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-003	cluster-003	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-004	cluster-004	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-005	cluster-005	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-006	cluster-006	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-007	cluster-007	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-008	cluster-008	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-009	cluster-009	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-010	cluster-010	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-011	cluster-011	2025-02-01	2026-06-30	matured	common-success	2026-07-15	NONE	NONE	NONE
obs-012	cluster-012	2025-02-01	2026-06-30	matured	culture-loss-scaleup-success	2026-07-15	NONE	NONE	NONE
obs-013	cluster-013	2025-02-01	2026-06-30	matured	culture-loss-scaleup-success	2026-07-15	NONE	NONE	NONE
obs-014	cluster-014	2025-02-01	2026-06-30	matured	culture-loss-scaleup-success	2026-07-15	NONE	NONE	NONE
obs-015	cluster-015	2025-02-01	2026-06-30	matured	culture-success-scaleup-loss	2026-07-15	NONE	NONE	NONE
obs-016	cluster-016	2025-02-01	2026-06-30	matured	culture-success-scaleup-loss	2026-07-15	NONE	NONE	NONE
obs-017	cluster-017	2025-02-01	2026-06-30	matured	culture-success-scaleup-loss	2026-07-15	NONE	NONE	NONE
obs-018	cluster-018	2025-02-01	2026-06-30	matured	common-loss	2026-07-15	NONE	NONE	NONE
obs-019	cluster-019	2025-02-01	2027-02-01	not-yet-matured	NONE	NONE	NONE	NONE	NONE
obs-020	cluster-020	2025-02-01	2027-02-01	not-yet-matured	NONE	NONE	NONE	NONE	NONE
obs-021	cluster-021	2025-02-01	2027-02-01	excluded	NONE	NONE	pre-entry-eligibility	NONE	NONE
obs-022	cluster-022	2025-02-01	2027-02-01	excluded	NONE	NONE	pre-entry-eligibility	NONE	NONE
