input_id	target_path	input_class	input_status	method_id	evidence_record_ids	requirement_ids	limitations	update_or_retire
SYN-001	ambiguity/scenario.1.central_weight	probability	synthetic	invented-unit-path	NONE	NONE	Unit probability is not an empirical estimate.	Replace with an approved physical-P method or retire the candidate.
SYN-002	ambiguity/scenario.1.id	dependence	synthetic	invented-unit-path	NONE	NONE	Scenario identity exists only for software verification.	Replace with a governed joint-state taxonomy or retire the candidate.
SYN-003	ambiguity/scenario.1.lower_weight	probability	synthetic	invented-unit-path	NONE	NONE	Degenerate lower bound is not an uncertainty estimate.	Replace with an approved physical-P bound or retire the candidate.
SYN-004	ambiguity/scenario.1.upper_weight	probability	synthetic	invented-unit-path	NONE	NONE	Degenerate upper bound is not an uncertainty estimate.	Replace with an approved physical-P bound or retire the candidate.
SYN-005	portfolio/portfolio.annual_physical_hurdle_rate	policy-hurdle	synthetic	invented-unit-path	NONE	NONE	Zero hurdle is used only to simplify the fixture.	Replace with an approved physical-P hurdle policy or retire the candidate.
SYN-024	portfolio/portfolio.currency_label	instrument-term	synthetic	invented-unit-path	NONE	NONE	DEMO is not a real reporting or settlement currency.	Replace with a controlled reporting and settlement currency or retire the candidate.
SYN-006	portfolio/portfolio.horizon_months	instrument-term	synthetic	invented-unit-path	NONE	NONE	Twelve months is an invented analysis horizon.	Replace with a financed-project horizon or retire the candidate.
SYN-025	portfolio/portfolio.monetary_basis	instrument-term	synthetic	invented-unit-path	NONE	NONE	The synthetic monetary basis is not a valuation convention.	Replace with controlled nominal or real basis terms or retire the candidate.
SYN-007	portfolio/project.1.commitment_million	capital	synthetic	invented-unit-path	NONE	NONE	One DEMO million is not a financing estimate.	Replace with a reconciled eligible commitment or retire the candidate.
SYN-008	portfolio/project.1.id	capital	synthetic	invented-unit-path	NONE	NONE	Project identifier names no legal entity or facility.	Replace after the reference boundary passes or retire the candidate.
SYN-009	portfolio/project.1.stage	transition	synthetic	invented-unit-path	NONE	NONE	Pilot stage is an invented classification.	Replace using controlled technical evidence or retire the candidate.
SYN-010	portfolio/scenario.1.cash_source.1.cash.1.amount_million	commercial-cash	synthetic	invented-unit-path	NONE	NONE	Receipt capacity is invented and is not counterparty evidence.	Replace with reconciled enforceable source capacity or retire the candidate.
SYN-011	portfolio/scenario.1.cash_source.1.cash.1.month	commercial-cash	synthetic	invented-unit-path	NONE	NONE	Receipt timing is invented.	Replace with contract and operating timing evidence or retire the candidate.
SYN-012	portfolio/scenario.1.cash_source.1.id	commercial-cash	synthetic	invented-unit-path	NONE	NONE	Cash-source identity names no counterparty.	Replace with an exact controlled source identifier or retire the candidate.
SYN-013	portfolio/scenario.1.cash_source.1.kind	commercial-cash	synthetic	invented-unit-path	NONE	NONE	Commercial classification is illustrative only.	Replace with an enforceable source classification or retire the candidate.
SYN-014	portfolio/scenario.1.id	dependence	synthetic	invented-unit-path	NONE	NONE	Scenario identity exists only for software verification.	Replace with a governed joint-state taxonomy or retire the candidate.
SYN-015	portfolio/scenario.1.project.1.draw.1.amount_million	capital	synthetic	invented-unit-path	NONE	NONE	Draw amount is invented.	Replace with reconciled eligible uses and timing or retire the candidate.
SYN-016	portfolio/scenario.1.project.1.draw.1.month	capital	synthetic	invented-unit-path	NONE	NONE	Draw timing is invented.	Replace with an approved draw schedule or retire the candidate.
SYN-017	portfolio/scenario.1.project.1.project_id	capital	synthetic	invented-unit-path	NONE	NONE	Project linkage names no legal project.	Replace after the reference boundary passes or retire the candidate.
SYN-018	portfolio/scenario.1.project.1.receipt.1.amount_million	commercial-cash	synthetic	invented-unit-path	NONE	NONE	Receipt amount is invented.	Replace with reconciled enforceable cash flow or retire the candidate.
SYN-019	portfolio/scenario.1.project.1.receipt.1.cash_source_id	commercial-cash	synthetic	invented-unit-path	NONE	NONE	Receipt linkage names no real source.	Replace with a controlled source linkage or retire the candidate.
SYN-020	portfolio/scenario.1.project.1.receipt.1.month	commercial-cash	synthetic	invented-unit-path	NONE	NONE	Receipt timing is invented.	Replace with a controlled timing basis or retire the candidate.
SYN-021	portfolio/scenario.1.project.1.receipt.1.principal_component_million	recovery	synthetic	invented-unit-path	NONE	NONE	Principal memo is invented.	Replace with documented claim characterization or retire the candidate.
SYN-022	portfolio/scenario.1.project.1.resolution	recovery	synthetic	invented-unit-path	NONE	NONE	Resolved status is an invented terminal assumption.	Replace with a governed resolution definition or retire the candidate.
SYN-023	portfolio/scenario.1.weight	probability	synthetic	invented-unit-path	NONE	NONE	Unit scenario weight is not an empirical estimate.	Replace with an approved physical-P method or retire the candidate.
