entry_id	economic_fact_id	event_group_id	kind	period	known_at_period	value_status	lower_value	upper_value	input_status	source_record_id	provider_claim_id
required-buyer-price	required-buyer-price	funding-event-UNKNOWN	buyer-price	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-buyer-direct-cost	required-buyer-direct-cost	funding-event-UNKNOWN	buyer-direct-cost	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-borrower-gross-proceeds	required-borrower-gross-proceeds	funding-event-UNKNOWN	borrower-gross-proceeds	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-borrower-net-proceeds	required-borrower-net-proceeds	funding-event-UNKNOWN	borrower-net-proceeds	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-cash-fee	required-cash-fee	funding-event-UNKNOWN	cash-fee	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-borrower-third-party-cost	required-borrower-third-party-cost	funding-event-UNKNOWN	borrower-third-party-cost	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
derived-funded-principal-before-fee	derived-funded-principal-before-fee	funding-event-UNKNOWN	funded-principal	UNKNOWN	UNKNOWN	known	15.0	15.0	derived	SF-CD-2024-09-05	NONE
required-original-issue-discount	required-original-issue-discount	funding-event-UNKNOWN	original-issue-discount	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-original-issue-premium	required-original-issue-premium	funding-event-UNKNOWN	original-issue-premium	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
reported-capitalized-commission	reported-capitalized-commission	funding-event-UNKNOWN	capitalized-fee	UNKNOWN	UNKNOWN	known	1.3	1.3	contractual	SF-CD-2024-09-05	NONE
required-interest-accrual	required-interest-accrual	cash-rights-UNKNOWN	interest-accrual	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
reported-first-principal-due	reported-first-principal-due	principal-schedule-2024	principal-due	UNKNOWN	UNKNOWN	known	0.67916666	0.67916666	contractual	SF-CD-2024-09-05	NONE
required-interest-due	required-interest-due	cash-rights-UNKNOWN	interest-due	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-principal-cash	required-principal-cash	cash-rights-UNKNOWN	principal-cash	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-interest-cash	required-interest-cash	cash-rights-UNKNOWN	interest-cash	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-recovery-principal-cash	required-recovery-principal-cash	recovery-event-UNKNOWN	recovery-principal-cash	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
required-recovery-interest-cash	required-recovery-interest-cash	recovery-event-UNKNOWN	recovery-interest-cash	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	NO_PUBLIC_SOURCE	NONE
