record_id	requirement_id	assertion_status	source_class	verification	applicability	source_date	access_date	next_review_date	record_owner	source_uri	retained_copy	retained_sha256	document_version	extract_reference	confidentiality	adverse_evidence	resolution_status	resolved_by	resolution_date	resolution_authority	resolution_basis	decision_use	verified_by	verification_date	verification_procedures	approved_by	conflict_status	limitations
BM-PUB-001	REF-LEGAL-OPERATOR	mixed	government-disclosure	V1	near	2022-12-07	2026-08-27	2026-11-27	FCA-research	https://www.commerce.nc.gov/news/press-releases/2022/12/07/governor-cooper-announces-food-tech-company-build-first-large-scale-production-facility-123-million	NONE	NONE	web-version-unretained	historical-name-and-incentive-recipient	public	true	open	NONE	NONE	NONE	OPEN - current legal operator and estate authority require primary records	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	North Carolina identified Future Meat Technologies Inc. d/b/a Believer Meats historically; current operator, estate authority, borrower, obligor, and SPV chain are not established.
BM-PUB-002	REF-FACILITY-SITE	supports	regulator	V2	exact	2026-02-04	2026-08-27	2026-11-27	FCA-research	https://www.labor.communications.its.state.nc.us/elevPublic/scripts/e_pa_1d.cfm?state_id=37239	NONE	NONE	web-version-unretained	state-id-37239-summary	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	State elevator record identifies 4939 Lamm Road and physical installation only; it does not establish title, the full site perimeter, commissioning, or production.
BM-PUB-003	REF-FACILITY-SITE	partial	operator-disclosure	V1	exact	2022-12-07	2026-08-27	2026-11-27	FCA-research	https://www.believermeats.com/press/believer-meats-breaks-ground-on-largest-cultivated-meat-production-facility-in-the-world	NONE	NONE	web-version-unretained	facility-announcement	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	Company announcement states 200,000 square feet and 10,000 metric tonnes of capacity without establishing achieved capacity, title, or current control.
BM-PUB-004	REF-PRODUCT-SPEC	partial	regulator	V2	exact	2026-02-19	2026-08-27	2026-11-27	FCA-research	https://hfpappexternal.fda.gov/scripts/fdcc/index.cfm?id=039&set=AnimalCellCultureFoods	NONE	NONE	web-version-unretained	CCC-039-inventory-fields	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	FDA identifies cultured chicken fibroblast cell biomass; an executed buyer specification and exact financeable finished product are absent.
BM-PUB-005	REF-PROCESS-BOUNDARY	partial	operator-disclosure	V2	near	2025-07-24	2026-08-27	2026-11-27	FCA-research	https://www.fda.gov/media/188065/download	NONE	NONE	web-version-unretained	sponsor-process-description-pages-2-15	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	Sponsor process assertions published in the FDA file describe cell banking through harvest; exact Wilson equipment, scale, yields, cycle times, and process-version crosswalk are absent.
BM-PUB-006	REF-JURISDICTION	supports	government-disclosure	V1	exact	2022-12-07	2026-08-27	2026-11-27	FCA-research	https://www.commerce.nc.gov/news/press-releases/2022/12/07/governor-cooper-announces-food-tech-company-build-first-large-scale-production-facility-123-million	NONE	NONE	web-version-unretained	Wilson-North-Carolina-location	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	Official state announcement establishes the operating location only; contract governing law and dispute forum are separate unresolved requirements.
BM-PUB-007	REF-USE-OF-FUNDS	partial	operator-disclosure	V1	near	2022-12-07	2026-08-27	2026-11-27	FCA-research	https://www.believermeats.com/press/believer-meats-breaks-ground-on-largest-cultivated-meat-production-facility-in-the-world	NONE	NONE	web-version-unretained	historical-planned-investment	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	USD 123.35 million was an initial planned investment, not a current board-approved financing need, reconciled budget, or receivership use of funds.
BM-PUB-008	REF-REGULATORY-FACILITY-SCOPE	mixed	operator-disclosure	V1	near	2025-07-24	2026-08-27	2026-11-27	FCA-research	https://www.fda.gov/media/188065/download	NONE	NONE	web-version-unretained	sponsor-scale-up-intention-page-14	public	true	open	NONE	NONE	NONE	OPEN - exact Wilson regulatory and operating scope must be reconciled	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	FDA's file records the sponsor's intention to scale in North Carolina and obtain confirming data; it does not establish Wilson-scale qualification or facility permissions.
BM-PUB-009	TEC-COMPLETE-RUN-HISTORY	partial	operator-disclosure	V1	adjacent	2025-07-24	2026-08-27	2026-11-27	FCA-research	https://www.fda.gov/media/188065/download	NONE	NONE	web-version-unretained	sponsor-run-description-pages-2-and-21	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	The sponsor reported several production runs in the FDA file; this is neither the complete run population nor verified Wilson commercial-scale history.
BM-PUB-010	REG-PRODUCT-SCOPE	partial	regulator	V2	exact	2026-02-19	2026-08-27	2026-11-27	FCA-research	https://hfpappexternal.fda.gov/scripts/fdcc/index.cfm?id=039&set=AnimalCellCultureFoods	NONE	NONE	web-version-unretained	CCC-039-consultation-inventory	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	FDA consultation is product-and-process specific and does not alone establish USDA inspection, label approval, state-law sale permission, or current operating authorization.
BM-PUB-011	REG-OPEN-CONDITIONS	mixed	operator-disclosure	V1	exact	UNDATED	2026-08-27	2026-11-27	FCA-research	https://www.believermeats.com/foodservice	NONE	NONE	web-version-unretained	pending-USDA-label-approval-text	public	true	open	NONE	NONE	NONE	OPEN - dynamic company page conflicts with later FSIS history and needs controlled reconciliation	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	The dynamic company page says USDA label approval is pending; it is undated and conflicts with later public regulatory history, so it is only a current-status question lead.
BM-PUB-012	COM-EXECUTED-OFFTAKE	partial	operator-disclosure	V2	near	2023-04-12	2026-08-27	2026-11-27	FCA-research	https://www.investors.adm.com/news/news-details/2023/ADM-Believer-Meats-to-Bring-Expertise-Together-to-Advance-the-Horizons-of-Cultivated-Meat/default.aspx	NONE	NONE	web-version-unretained	non-exclusive-exploratory-MOU	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	ADM and Believer described a non-exclusive exploratory MOU; it is not Wilson-specific offtake and does not prove that no separate binding demand contract exists.
BM-PUB-013	IMP-ANIMAL-INPUT-BASELINE	partial	operator-disclosure	V2	exact	2025-07-24	2026-08-27	2026-11-27	FCA-research	https://www.fda.gov/media/188065/download	NONE	NONE	web-version-unretained	sponsor-animal-input-description-pages-5-14	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	Sponsor assertions identify fertilized eggs and upstream animal-derived reagents, with none after the secondary master cell bank; quantities and replacement frequency are not public.
BM-PUB-014	REF-PROCESS-BOUNDARY	partial	regulator	V2	near	2025-09-24	2026-08-27	2026-11-27	FCA-research	https://www.fda.gov/media/189007/download	NONE	NONE	web-version-unretained	supplement-removing-soy-derived-enzyme	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	FDA supplemental correspondence records removal of a soy-derived enzyme from the process narrative; exact Wilson implementation and change-control evidence are absent.
BM-PUB-015	REF-REGULATORY-FACILITY-SCOPE	mixed	government-disclosure	V1	near	UNDATED	2026-08-27	2026-11-27	FCA-research	https://www.wilsonnc.org/home/showpublisheddocument/8015/639025964261430000	NONE	NONE	web-version-unretained	FY2025-report-facility-and-jobs-description	public	true	open	NONE	NONE	NONE	OPEN - municipal description does not establish operating or regulatory status	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	Wilson's FY2025 report calls the site a production facility and says it created 100 jobs; it does not evidence commissioned output and must be reconciled with the later shutdown and inactive FSIS status.
BM-PUB-016	REF-FINANCING-OBLIGOR-AUTHORITY	mixed	media	V1	exact	2026-03-11	2026-08-27	2026-11-27	FCA-research	https://dockets.justia.com/docket/north-carolina/ncedce/5%3A2025cv00792/223551	NONE	NONE	web-version-unretained	federal-docket-receivership-notice-and-stay	public	true	open	NONE	NONE	NONE	OPEN - retain primary state receivership orders and current authority certificates	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	A federal docket mirror records a receivership notice and a stay pending state proceedings for Future Meat Technologies Inc.; it is not the controlling state order or a complete authority record.
BM-PUB-017	FIN-CLAIMS-RECOVERY	mixed	media	V1	exact	2026-03-11	2026-08-27	2026-11-27	FCA-research	https://dockets.justia.com/docket/north-carolina/ncedce/5%3A2025cv00792/223551	NONE	NONE	web-version-unretained	federal-contract-case-docket	public	true	open	NONE	NONE	NONE	OPEN - allegations, liens, priorities, orders, and claims require primary files	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	The docket mirror identifies Gray Construction litigation and later stay; complaint allegations are not findings and the estate claims and priority waterfall are not established.
