artifact_role	path	sha256	notes
paper_source	whitepaper/fostering-cellular-agriculture-white-paper.tex	75d3431050f8401896982b0172de3dd4ffffbc8275db29cf67c1f98bc5d107d1	LaTeX source for version 2.1
bibliography	whitepaper/references.bib	8cab3585efadd75f970412714459197425e9234ba65709515f15b970780e8d42	BibTeX source for version 2.1
release_pdf	whitepaper/fostering-cellular-agriculture-white-paper.pdf	e34371bf771374cae580bc7488a20a736ecca968d572e141de5281a1f59143d0	Verified 31-page public artifact
build_definition	CMakeLists.txt	ac8ffbf6c414a91818e87b3e7a97682fc4e9ab6fc5efb1576c69be245440d209	Emscripten build and test registration
funding_bridge_standard	docs/CALLABLE_CAPITAL_WAREHOUSE_FUNDING_BRIDGE_V0_1.md	7a1940d84f1bec75e4eb18079f2a208d78a721a7ec1956461fc7def2b244633d	Normative funding-integrity specification
funding_bridge_public_api	include/naturalehia/cellular_finance/funding_bridge.hpp	3508477fa60bc3e7df2dca5135746317c2fa53d2c93934d885cc092a50174b69	Funding-bridge model contract
funding_bridge_public_api	include/naturalehia/cellular_finance/funding_bridge_config.hpp	e755c138fef04159d011393d0c19bb05476e53efe7f809e34e519fbaaaaa7364	Closed-parser contract
funding_bridge_implementation	src/funding_bridge.cpp	738e9b37a027f7d0e20c6c66d5d13870bdf468861cd961026b712402668ea62c	Funding-integrity evaluator
funding_bridge_implementation	src/funding_bridge_config.cpp	e5019b9ce954fdb7ef218c9dbdc86a333a6d71f93c28a329113f4647ca2c0ad0	Closed configuration parser
funding_bridge_test	tests/funding_bridge_tests.cpp	df19ed221b2d2ed5749440d19457bd56dcb12070d30a78ab813dcf1c378717d6	Adversarial accounting and policy suite
funding_bridge_test	tests/funding_bridge_config_tests.cpp	986feafa8e552b83696a25ba2e8bd0a15b9926f4a30656fc2d7767414a07d8d5	Closed-parser and round-trip suite
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/ambiguity.cfg	8c37d0bbc479e918070e793a2a92e16ff853f2c36b518bbe054ad7f8cdbc2993	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/capital-mobilization-frontier-v0.2.cfg	7f6ffe0b3d883efec99c307577ba0d75587088cbc1badecd9a152c281862b368	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/capital-stack-v0.2.cfg	08e755ecfee05bc091cc240e6b858e693d1eef5d269675bccbd6b66fd377548f	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/capital-stack.cfg	68252e0deab3c516f21c3ec70e8bcf99cb690947c4c80c045aee78d2c16d278a	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/event-polytope-v0.2.cfg	5ea761a2567a3a25038efc1dffb1eeec5263366a8deabe5f92a4e0ae40926e28	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/issue-price-support-v0.2.cfg	0c450194e3dddeb171f83508148f2853392b9009ecf640faebfdcd99037a6f5c	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/loss-protection.cfg	fda00383ddd3ba61b5887b9ac02275aa844140cafc1ab645708a77efd952cd81	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/market-priority-cap-v0.2.cfg	bb9426349dc40c6adbcc5c6ab140dc3951107c760631d3f7434553e3e9436f46	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/portfolio.cfg	2b2eb5e0e523ea6b4c35fe0c0063563b7f57566fdc94b552fef6431ea1d033bf	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/provider-credit.cfg	98fd3806ba7069a93d1d3f16950cc37326f4e586890367d0e078de8c758bd38c	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/provider-price.cfg	873c6c45a58e7d8102bd3c1b699788cea349f1485f582c34e06bda19c35419e2	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/success-participation.cfg	118a21ed4187bacc2641f030b494447650ee4f45651381ce2cb39ab31be0194d	Synthetic input
published_wasm_module	assets/wasm/naturalehia-issue-price-support-browser.mjs	c9417c378ac842de4f56974224bf5fe597afc48a9b833f504b3c20b22ce0acf8	Emscripten browser module retained from the verified quantitative release
published_wasm_binary	assets/wasm/naturalehia-issue-price-support-browser.wasm	1422d9f3512de2c6f8180781990ac46bf7194b1d8f0ca0032cf98a0d3aa27eee	Emscripten WebAssembly binary retained from the verified quantitative release
browser_fixture	assets/instrument-fixture-v1.js	05be52a5e3ae6549f433f9d858b60e2a8963691ecc271b0950a40febbbf2cbe1	Frozen browser result fixture
